DATE	YEAR	STATE	CITY	PUBLIC	PRIVATE	FAMILY	FELONY	NON_STRANGER	NUMBER_LOCATIONS	LOCATION_PRIMARY	LOCATION_SECONDARY	UNSOLVED	SHOOTER_COUNT	SHOOTER_SUSPECTED	SHOOTER_MALE	SHOOTER_WHITE	SHOOTER_BLACK	SHOOTER_HISPANIC	SHOOTER_ASIAN	SHOOTER_OTHERNONWHITE	SHOOTER_IMMIGRANT	SHOOTER_AGE_UNDER18	SHOOTER_AGE_18TO24	SHOOTER_AGE_25TO29	SHOOTER_AGE_30TO39	SHOOTER_AGE_40TO49	SHOOTER_AGE_50TO59	SHOOTER_AGE_60PLUS	SHOOTER_FEMALE	SHOOTER_SUICIDE_ONSCENE	SHOOTER_SUICIDE_OFFSCENE	SHOOTER_KILLED_ONSCENE	SHOOTER_KILLED_OFFSCENE	SHOOTER_DETAINED_ONSCENE	SHOOTER_DETAINED_OFFSCENE	VICTIM_COUNT_SHOTINJURED	VICTIM_COUNT_SHOTFATAL	VICTIMS_MALE	VICTIMS_FEMALE	VICTIMS_AGE_UNDER18	VICTIMS_AGE_UNDER12	VICTIMS_AGE_12TO17	VICTIMS_AGE_18TO24	VICTIMS_AGE_25TO29	VICTIMS_AGE_30TO39	VICTIMS_AGE_40TO49	VICTIMS_AGE_50TO59	VICTIMS_AGE_60PLUS	VICTIMS_PREGNANT	VICTIMS_REL_ROMANTIC	VICTIMS_REL_COWORKERS	VICTIMS_REL_CHILDREN	VICTIMS_REL_OTHERFAMILY	VICTIMS_REL_OTHERNONSTRANGER	VICTIMS_REL_STRANGERS	GUNS_MULTIPLE	GUNS_HANDGUN	GUNS_SHOTGUN	GUNS_RIFLE	GUNS_ASSAULTWEAPON	DEFENSIVE_GUNS	OTHER_WEAPONS_USED	SHOOTING_DAYLIGHT	SHOOTER_PRIORARREST	SHOOTER_GANG	SHOOTER_VIOLENCE	SHOOTER_MENTALHEALTH	SHOOTER_MILITARY	SHOOTER_LAWENFORCE	SHOOTER_LOSTJOB	SHOOTER_FINANCIALSTRAIN	SHOOTER_SEPARATION	SHOOTER_CONFLICT	SHOOTER_OTHERSTRESS	SHOOTER_VICTIMABUSE	SHOOTER_VOICEMOTIVES	HATE_CRIME	SHOOTING_SPREE	SHOOTING_RURAL	SHOOTING_SUBURBAN	SHOOTING_URBAN	OFFICIAL_RECORDS	NEWS_ARTICLES_ORD	NEWS_MULTISTATE	NEWS_NYT	NEWS_LATIMES	NEWS_WAPOST	NEWS_CHICAGOTRIB
JUL-1980	1980	Texas	Lubbock	1	0	0	0	0	1	3	99	1	4	1	4	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	99	0	99	0	0	0	4	4	0	0	0	0	2	0	0	0	0	2	0	99	99	99	99	99	99	0	1	99	99	99	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	1	0	0	1	1	0	0	0	0	0
JUL-1980	1980	Pennsylvania	Coraopolis	1	0	0	0	1	1	13	99	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	4	2	2	0	0	0	0	1	0	0	2	1	0	0	0	0	0	3	1	1	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	5	1	0	1	0	1
AUG-1980	1980	Florida	Holmes Beach	1	0	0	0	0	1	13	99	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	99	0	99	0	0	1	4	4	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	1	0	1	5	1	0	1	0	1
AUG-1980	1980	California	West Los Angeles	1	0	0	1	0	1	13	99	0	2	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	4	1	1	0	0	0	0	0	0	99	1	99	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	0	1	0	0
SEP-1980	1980	Kentucky	Pike County	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	4	0	4	2	1	1	0	1	0	1	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0
SEP-1980	1980	Massachusetts	Boston	1	0	0	1	1	1	3	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	4	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	2	0	0	1	0	0	0	0	1	1	1	0	99	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	5	1	1	1	0	0
SEP-1980	1980	Ohio	El Dorado	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	3	3	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	5	1	0	0	0	0
OCT-1980	1980	Missouri	Des Peres	1	0	0	1	0	1	21	99	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	1	0	0	0
DEC-1980	1980	Texas	Dallas	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	2	3	4	3	1	0	0	1	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	0	0	1	99	0	99	1	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	5	1	1	1	0	1
DEC-1980	1980	Florida	Miami	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	2	2	0	0	0	0	0	1	3	0	0	0	99	99	99	99	99	99	0	1	0	0	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	1	3	0	1	0	0	0
DEC-1980	1980	California	Los Angeles	1	0	0	1	0	1	21	99	0	2	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	7	4	3	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	1	0	1	0	1
JAN-1981	1981	Iowa	Delmar	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	6	2	4	5	4	1	0	0	1	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0	99	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	5	1	1	1	0	1
JAN-1981	1981	New York	Bronx	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	4	0	0	0	0	0	1	1	1	1	0	0	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	0	1	1	1	0	0	0
JAN-1981	1981	Virginia	Chesterfield	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	6	4	2	0	0	0	3	1	2	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	1	0	0	5	1	1	0	1	0
MAR-1981	1981	California	San Francisco	0	1	1	0	0	1	20	99	0	1	0	1	0	0	1	0	0	0	99	99	99	99	99	99	99	0	1	0	0	0	0	0	0	4	1	3	2	2	0	2	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	99	99	99	99	99	99	99	99	99	1	99	99	0	0	0	0	0	0	1	0	1	0	0	1	0	0
MAR-1981	1981	California	Poway	1	0	0	1	0	1	50	99	0	2	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	3	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	1	0	1	0	1
MAY-1981	1981	Maryland	Clinton	0	1	1	0	1	1	20	99	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6	1	5	3	1	2	0	0	3	0	0	0	0	1	0	2	0	3	0	1	1	1	0	0	1	0	1	99	0	99	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	5	1	1	0	1	1
MAY-1981	1981	Oregon	Salem	1	0	0	0	0	1	3	99	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	25	4	3	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	99	0	99	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	5	1	1	1	0	1
JUN-1981	1981	Arizona	Tucson	0	1	1	0	0	1	14	99	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	2	2	2	2	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	99	99	0	99	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	2	1	0	0	0	0
JUL-1981	1981	Ohio	Bethel	0	1	0	1	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	4	3	1	1	1	0	0	0	2	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	0	99	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	1	1	0	0	0
JUL-1981	1981	Georgia	Thomson	0	1	0	1	0	3	20	20	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	7	4	3	2	1	1	2	0	0	0	1	2	0	0	0	0	0	0	7	0	1	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	5	1	1	1	0	0
AUG-1981	1981	Indiana	Indianopolis	0	1	1	0	0	2	20	20	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	6	2	4	4	4	0	0	1	0	0	1	0	0	1	0	4	1	0	0	1	1	1	0	0	0	0	1	99	0	99	1	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	5	1	1	1	0	0
SEP-1981	1981	South Carolina	Columbia	0	1	0	0	0	1	20	99	0	3	0	3	0	3	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	2	4	3	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	1	1	0	0	0
OCT-1981	1981	Kentucky	Allen	1	0	0	0	1	1	24	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	5	5	0	0	0	0	0	3	1	1	0	0	0	0	1	0	0	4	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	5	1	1	1	0	0
NOV-1981	1981	Illinois	Chicago	0	1	0	0	1	1	20	99	0	4	0	4	0	0	4	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	4	4	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	99	0	99	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	0	1	0	1
JAN-1982	1982	Ohio	Elyria	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	4	2	2	0	1	0	0	1	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	5	1	0	1	0	0
JAN-1982	1982	New York	New York	1	0	0	1	0	1	13	99	1	1	1	1	0	1	0	0	0	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	2	2	2	2	0	0	1	1	0	0	0	0	99	99	99	99	99	99	1	1	1	0	0	1	0	0	99	99	99	99	99	99	99	99	99	99	99	99	0	0	1	0	0	1	0	3	1	1	0	0	0
FEB-1982	1982	Michigan	Farwell	0	1	1	0	0	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	7	2	5	3	3	0	1	1	0	1	1	0	0	1	0	0	6	0	0	1	1	1	0	0	0	0	99	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	5	1	1	1	0	1
MAR-1982	1982	California	Siskiyou	0	1	0	1	1	2	20	20	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	4	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0
MAR-1982	1982	Michigan	Grand Haven	0	1	0	0	1	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	1	4	2	1	1	1	0	0	2	0	0	0	0	1	0	0	4	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	5	1	0	0	0	1
APR-1982	1982	Michigan	Port Huron	0	1	0	0	1	1	20	99	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	2	3	3	1	2	1	0	0	0	1	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	5	1	1	1	0	1
APR-1982	1982	Connecticut	West Harford	0	1	1	0	1	2	13	20	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	4	1	3	1	0	1	0	0	2	0	0	1	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	4	1	1	0	0	0
APR-1982	1982	Florida	Miami	0	1	0	1	0	1	20	99	1	99	0	99	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	0	99	0	0	0	4	3	1	0	0	0	0	1	3	0	0	0	0	99	99	99	99	99	99	99	99	99	99	99	99	0	0	99	99	99	99	99	99	99	99	99	99	99	99	99	0	0	0	0	1	1	3	1	0	0	0	0
APR-1982	1982	Florida	Perry	0	1	0	0	1	1	20	99	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	3	1	3	3	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	99	0	99	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0
MAY-1982	1982	Alaska	Anchorage	1	0	0	1	0	1	10	99	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	4	1	1	0	0	0
